iter	Passed	Remaining
234	9228	30041
235	9279	30039
236	9330	30037
237	9389	30060
238	9443	30067
239	9488	30045
240	9545	30063
241	9599	30069
242	9651	30066
243	9690	30024
244	9724	29967
245	9759	29914
246	9793	29857
247	9829	29804
248	9865	29755
249	9899	29699
250	9945	29677
251	9983	29634
252	10022	29591
253	10061	29549
254	10099	29505
255	10134	29452
256	10165	29388
257	10195	29322
258	10229	29265
259	10263	29211
260	10309	29190
261	10343	29135
262	10376	29077
263	10409	29019
264	10441	28960
265	10473	28901
266	10506	28844
267	10547	28808
268	10595	28792
269	10626	28730
270	10675	28717
271	10737	28738
272	10783	28716
273	10819	28667
274	10854	28616
275	10889	28564
276	10924	28515
277	10989	28540
278	11045	28544
279	11090	28519
280	11125	28467
281	11158	28409
282	11189	28349
283	11219	28286
284	11250	28223
285	11298	28206
286	11342	28179
287	11380	28135
288	11420	28097
289	11458	28053
290	11502	28025
291	11534	27966
292	11565	27906
293	11595	27845
294	11661	27868
295	11693	27811
296	11724	27751
297	11761	27706
298	11797	27658
299	11844	27637
300	11878	27585
301	11912	27532
302	11943	27473
303	11972	27409
304	12003	27351
305	12033	27291
306	12065	27235
307	12097	27178
308	12128	27122
309	12159	27063
310	12188	27003
311	12218	26943
312	12248	26884
313	12280	26828
314	12321	26794
315	12357	26749
316	12392	26699
317	12423	26643
318	12464	26609
319	12503	26570
320	12570	26588
321	12609	26551
322	12704	26628
323	12763	26629
324	12806	26598
325	12855	26579
326	12890	26530
327	12932	26495
328	12962	26438
329	12994	26382
330	13027	26330
331	13060	26277
332	13092	26224
333	13127	26175
334	13158	26120
335	13188	26063
336	13237	26042
337	13274	25998
338	13307	25947
339	13346	25907
340	13380	25859
341	13415	25810
342	13449	25761
343	13482	25711
344	13514	25657
345	13556	25623
346	13592	25578
347	13644	25564
348	13678	25514
349	13731	25501
350	13765	25453
351	13807	25418
352	13854	25393
353	13918	25398
354	13976	25394
355	14041	25401
356	14101	25398
357	14159	25391
358	14198	25351
359	14230	25299
360	14261	25243
361	14292	25189
362	14323	25136
363	14354	25081
364	14384	25025
365	14419	24977
366	14453	24929
367	14484	24875
368	14515	24821
369	14549	24773
370	14584	24726
371	14657	24744
372	14690	24694
373	14722	24642
374	14753	24589
375	14787	24540
376	14819	24489
377	14850	24436
378	14900	24414
379	14934	24367
380	14968	24318
381	15001	24270
382	15042	24232
383	15074	24182
384	15115	24146
385	15149	24097
386	15180	24045
387	15211	23993
388	15262	23972
389	15318	23960
390	15348	23905
391	15377	23851
392	15407	23796
393	15438	23745
394	15477	23706
395	15524	23679
396	15575	23657
397	15641	23659
398	15677	23614
399	15709	23564
400	15741	23513
